oshwaUid,country,projectName,responsibleParty,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
GR000010,Greece,Sprig-C3,Konstantinos Paraskevas,Electronics,GPL-3.0-only,No software,GPL-3.0-only,2025-07-16T00:00-04:00,58,5,6,https://certification.oshwa.org/gr000010.html
GR000011,Greece,Sprig-ESP32,Konstantinos Paraskevas,Electronics,GPL-3.0-or-later,No software,GPL-3.0-or-later,,58,5,6,https://certification.oshwa.org/gr000011.html
US000120,United States of America,Square Grid Board,"Google, LLC",Electronics,Other,Other,CC BY-SA,2018-03-07T00:00-04:00,17,7,9,https://certification.oshwa.org/us000120.html
JP000014,Japan,Stack-chan,Shinya Ishikawa,Robotics,Other,Apache,Other,2021-11-12T00:00-05:00,1199,139,31,https://certification.oshwa.org/jp000014.html
JP000017,Japan,Stack-chan,Shinya Ishikawa,Robotics,Other,Apache,Other,2022-09-15T00:00-04:00,1199,139,31,https://certification.oshwa.org/jp000017.html
LK000012,Sri Lanka,StarPointer,Dilshan R Jayakody,Space,CERN-OHL-W-2.0,MIT,CC-BY-4.0,2022-06-23T00:00-04:00,25,2,4,https://certification.oshwa.org/lk000012.html
CN000018,China,StarrySky,Yuchi Miao,Electronics,GPL-3.0-only,GPL-3.0-only,GPL-3.0-only,2025-05-09T00:00-04:00,7,0,1,https://certification.oshwa.org/cn000018.html
HR000014,Croatia,Stepper motor driver DRV8825 board,Soldered Electronics d.o.o.,Electronics,TAPR,No software,CC BY-SA,2023-03-03T00:00-05:00,6,1,1,https://certification.oshwa.org/hr000014.html
TR000001,Turkey,STM32 DS2480 Emu,Ali Tekin,Electronics,CERN,MIT,Other,2020-01-27T00:00-05:00,9,3,1,https://certification.oshwa.org/tr000001.html
AT000002,Austria,STM32 Ethernet Board,Lukas Schmid,Electronics,TAPR,No software,Other,2021-01-04T00:00-05:00,2,0,2,https://certification.oshwa.org/at000002.html
BR000018,Brazil,STM32 Explorer Board,Mechatronix Lab,Electronics,CERN-OHL-P-2.0,CERN-OHL-P-2.0,CERN-OHL-P-2.0,2025-01-22T00:00-05:00,12,1,1,https://certification.oshwa.org/br000018.html
TH000006,Thailand,STM32 Notebook - B6,Sirawit Lappisatepun,Electronics,Solderpad,No software,CC BY-SA,2021-02-17T00:00-05:00,16,3,1,https://certification.oshwa.org/th000006.html
ES000031,Spain,StopWatch,Making Devices,Electronics,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,2022-09-15T00:00-04:00,5,0,1,https://certification.oshwa.org/es000031.html
MU000001,Mauritius,Stormduino,TECKNOLOGG,Electronics,Other,No software,Other,2020-07-01T00:00-04:00,9,7,3,https://certification.oshwa.org/mu000001.html
