oshwaUid,country,projectName,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
US002573,United States of America,Adafruit LM66200 Ideal Dual Diodes Breakout,Electronics,Other,MIT,CC BY-SA,2023-11-09T00:00-05:00,2,0,9,https://certification.oshwa.org/US002573
US002475,United States of America,Adafruit LoRa Radio Bonnet with OLED - RFM95W @ 915MHz,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,10,0,8,https://certification.oshwa.org/US002475
US002504,United States of America,Adafruit LSM6DSOX + LIS3MDL FeatherWing - Precision 9-DoF IMU,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,2,1,10,https://certification.oshwa.org/US002504
US000730,United States of America,"Adafruit MagTag - 2.9"" Grayscale E-Ink WiFi Display",Electronics,Other,MIT,CC BY-SA,2020-11-30T00:00-05:00,9,2,12,https://certification.oshwa.org/US000730
US002068,United States of America,Adafruit MCP23017 I2C GPIO Expander Breakout,Electronics,Other,MIT,CC BY-SA,2022-01-14T00:00-05:00,6,3,10,https://certification.oshwa.org/US002068
US002591,United States of America,Adafruit MEMENTO Camera LED Ring Front Plate,Electronics,Other,MIT,CC BY-SA,2023-12-21T00:00-05:00,8,2,9,https://certification.oshwa.org/US002591
US002527,United States of America,Adafruit Metro ESP32-S3,Electronics,Other,MIT,CC BY-SA,2023-09-18T00:00-04:00,9,2,10,https://certification.oshwa.org/US002527
US002494,United States of America,Adafruit Metro M7 with AirLift - Featuring NXP iMX RT1011,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,3,1,10,https://certification.oshwa.org/US002494
US002534,United States of America,Adafruit Metro M7 with microSD,Electronics,Other,MIT,CC BY-SA,2023-09-19T00:00-04:00,4,1,9,https://certification.oshwa.org/US002534
US000471,United States of America,Adafruit Metro Mini 328 - Arduino-Compatible - 5V 16MHz,Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,44,12,15,https://certification.oshwa.org/US000471
US002123,United States of America,Adafruit Metro Mini 328 V2,Electronics,Other,MIT,CC BY-SA,2022-08-25T00:00-04:00,44,12,15,https://certification.oshwa.org/US002123
US002509,United States of America,Adafruit Micro Lipo - USB LiIon/LiPoly charger,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,43,13,14,https://certification.oshwa.org/US002509
US002512,United States of America,Adafruit Micro-Lipo Charger for LiPo/LiIon Batt w/MicroUSB Jack,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,43,13,14,https://certification.oshwa.org/US002512
US002525,United States of America,Adafruit Micro-Lipo Charger for LiPoly Batt with USB Type C Jack,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,43,13,14,https://certification.oshwa.org/US002525
US001083,United States of America,Adafruit MIDI FeatherWing Kit,Electronics,Other,MIT,CC BY-SA,2021-03-02T00:00-05:00,4,0,11,https://certification.oshwa.org/US001083
US002513,United States of America,Adafruit Mini Lipo w/Mini-B USB Jack - USB LiIon/LiPoly charger,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,43,13,14,https://certification.oshwa.org/US002513
US000671,United States of America,Adafruit MiniBoost 5V @ 1A - TPS61023,Electronics,Other,MIT,CC BY-SA,2020-09-12T00:00-04:00,15,3,11,https://certification.oshwa.org/US000671
US000526,United States of America,Adafruit Mono 2.5W Class D Audio Amplifier - PAM8302,Electronics,Other,MIT,CC BY-SA,2020-05-05T00:00-04:00,19,6,11,https://certification.oshwa.org/US000526
US001069,United States of America,Adafruit MPM3610 5V Buck Converter Breakout - 21V In 5V Out at 1.2A,Electronics,Other,MIT,CC BY-SA,2021-03-01T00:00-05:00,10,5,0,https://certification.oshwa.org/US001069
US002083,United States of America,Adafruit MSA311 Triple Axis Accelerometer - STEMMA QT / Qwiic,Electronics,Other,MIT,CC BY-SA,2022-02-07T00:00-05:00,2,0,10,https://certification.oshwa.org/US002083
US002469,United States of America,Adafruit Perma-Proto HAT for Pi Mini Kit - With EEPROM,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,31,9,11,https://certification.oshwa.org/US002469
US002481,United States of America,"Adafruit PiTFT 2.2"" HAT Mini Kit - 320x240 2.2"" TFT - No Touch",Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,8,2,6,https://certification.oshwa.org/US002481
US002518,United States of America,"Adafruit PiTFT 2.4"" HAT Mini Kit - 320x240 TFT Touchscreen",Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,3,0,5,https://certification.oshwa.org/US002518
