projectName,oshwaUid,hardwareLicense,softwareLicense,documentationLicense,status,notes
ProMicro_Boost,DE000105,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
ProMicro_FTDI,DE000163,CERN-OHL-S-2.0,MIT,CC BY-SA,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive MIT; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is MIT"
ProMicro_LIPO,DE000164,CERN-OHL-S-2.0,MIT,CC BY-SA,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive MIT; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is MIT"
ProMicro_LOG,DE000161,CERN-OHL-S-2.0,MIT,CC BY-SA,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive MIT; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is MIT"
ProMicro_POS,DE000162,CERN-OHL-S-2.0,MIT,CC BY-SA,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive MIT; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is MIT"
Protean PWM Logger,US000072,Other,Other,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ProtoCentral ADS1262 32-bit ADC Breakout Board,IN000023,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ProtoCentral ADS1293 3-channel ECG breakout board,IN000025,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ProtoCentral HealthyPi 5,IN000046,CERN-OHL-P-2.0,MIT,CC-BY-SA-4.0,compatible,No compatibility issues detected
"ProtoCentral HealthyPi ECG, Respiration and SpO2 HAT - v2 - for Raspberry Pi",IN000005,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ProtoCentral MAX30001 ECG and Respiration/Bio-Impedance Breakout Kit,IN000038,CERN-OHL-P-2.0,MIT,CC-BY-SA-4.0,compatible,No compatibility issues detected
ProtoCentral MAX30003 Single-lead ECG Breakout Board,IN000004,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ProtoCentral MAX30205 Wearable Body Thermometer Breakout Board - QWIIC compatible,IN000017,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ProtoCentral MAX86150 PPG & ECG sensor breakout,IN000016,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ProtoCentral OpenOx Wireless Pulse Sensor Kit based on AFE4400/ESP32,IN000040,CERN-OHL-P-2.0,MIT,CC-BY-SA-4.0,compatible,No compatibility issues detected
ProtoCentral Pulse Express with MAX30102 and MAX32664D,IN000022,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
PROTONEMA 1011A,CA000016,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
PROTONEMA 1012A,CA000022,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
PROTONEMA 1031A,CA000020,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
PROTONEMA 1032A,CA000019,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
PROTONEMA 1038A,CA000018,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
PROTONEMA 1060A,CA000024,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
Protonema 1510A,CA000015,CERN-OHL-S-2.0,No software,CERN-OHL-S-2.0,compatible,No compatibility issues detected
PROTONEMA 1522A,CA000023,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
Protonema 1620A,CA000034,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
ps2x2pico,US002692,Other,MIT,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
PSO Printer,CA000021,CERN-OHL-S-2.0,GPL-3.0-or-later,GPL-3.0-or-later,compatible,No compatibility issues detected
PÚCA DSP,IE000006,CERN-OHL-1.2,MIT,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
PUFFIN UNDERQUILT,US000156,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Pulse Oximeter & Heart Rate Sensor based on MAX30100,IN000002,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Pulse Sensor Amped,US000075,Other,MIT,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
PulseChord,PK000001,CERN-OHL-P-2.0,No software,CC-BY-SA-4.0,compatible,No compatibility issues detected
PyCubed,US002069,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Pyramid 3D Printer,CN000008,Other,GPL,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
QGPIO,US000648,Other,No software,CC 0,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
QRE1113,GT000008,CERN-OHL-1.2,GPL,CC BY,compatible,Legacy hardware license (CERN-OHL-1.2) - consider updating to CERN-OHL-2.0 family
quadropus,CH000011,CERN,GPL,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
QuakeCord,TW000006,CERN-OHL-S-2.0,Other,CC-BY-SA-4.0,cannot_assess,Software license is 'Other' - cannot verify compatibility
Qualia Bare Driver Board for LP097QX1 Display,US002450,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Qwiic Arcade - Blue,US000763,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Arcade - Red,US000764,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic BMP388 Pressure Sensor,US000710,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Chirp 101 Ultrasonic Rangefinder,US000708,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Chirp 101 Ultrasonic Rangefinder SMT,US001057,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Digital Capacitor - NCD2400M,US000705,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic EEPROM - 512Kbit,US000826,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic FM Transceiver - Si4721,US000743,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Fuel Gauge - MAX17048,US002187,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Humidity AHT20,US000717,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic IR Breakout,US002359,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Iridium 9603N,US000725,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Keyboard Explorer,US000707,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic LED Stick,US000822,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Micro Dynamic NFC/RFID Tag,US002311,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Multi Distance Sensor - VL53L3CX,US000693,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Power Switch,US000712,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Pressure Sensor - LPS25HB,US000823,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Pressure/Humidity/Temp (PHT) Sensor - MS8607,US000735,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Switch,US000762,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Qwiic Visible Spectrum Emitter,US002350,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
RA8875 Driver Board for 40-pin TFT Touch Displays - 800x480 Max,US002506,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Rain Tarp Quick Adjuster,US000106,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
RAMPS 1.7,EG000002,CERN-OHL-S-2.0,No software,CC BY,compatible,Unusual combination: CERN-OHL-S-2.0 hardware with permissive CC BY documentation - may be intentional but worth reviewing
Rapidly developable low cost and power efficient portable turbine-based emergency ventilator,BD000001,Other,Other,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Raspberry Pi breadboard breakout,HR000065,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
Raspberry Pi CM4 FlashStick,UK000031,Other,Other,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Raspberry Pi easyC adapter,HR000029,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
Raspberry Pi FlashStick,UK000023,Other,Other,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Raspberry Pi Pico Breakout Board,MU000008,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Raspberry Pi Screw Terminal Shield,MU000007,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Rebelia Hand,IT000021,CERN-OHL-S-2.0,GPL-3.0-or-later,CC BY-SA,compatible,No compatibility issues detected
ReGo,ES000038,CERN-OHL-W-2.0,CC-BY-SA-4.0,CC-BY-SA-4.0,compatible,No compatibility issues detected
Res-Q,IN000071,CERN-OHL-S-2.0,MIT,CC-BY-4.0,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive MIT; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is MIT; Unusual combination: CERN-OHL-S-2.0 hardware with permissive CC-BY-4.0 documentation - may be intentional but worth reviewing"
Resistive Touch Screen Controller - STMPE610,US000569,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ResQ,IN000072,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Restep Battery Charger Module,US002008,CERN,No software,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
RESTEP EMI FILTER,US001097,CERN,No software,CC BY,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Restep Mother Module,US002007,CERN,GPL,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Restep Off-Line Module,US002009,CERN,No software,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Restep PV Module,US002010,CERN,No software,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
RetroESP32,CA000030,CC-BY-SA-4.0,CC-BY-SA-4.0,CC-BY-SA-4.0,compatible,"CC licenses (CC-BY-SA-4.0) are designed for creative content, not hardware - consider CERN-OHL or similar"
RFM97C Mini Shield LoRa - 100mW,US002235,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
RGB Sensor (Qwiic) - BH1749NUC,US000832,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
RHT Device,ES000036,CERN-OHL-S-2.0,GPL-3.0-or-later,CC BY-SA,compatible,No compatibility issues detected
Rio: Modular Microfluidics Controller,CL000009,CERN-OHL-W-2.0,GPL-3.0-or-later,CERN-OHL-W-2.0,compatible,No compatibility issues detected
rioctrl,LV000001,CERN-OHL-S-2.0,No software,CERN-OHL-S-2.0,compatible,No compatibility issues detected
Robot Butterfly,CA000067,CERN-OHL-P-2.0,MIT,CC-BY-SA-4.0,compatible,No compatibility issues detected
Robot Study Companion,EE000003,CERN-OHL-S-2.0,Apache,CC-BY-SA-4.0,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive Apache; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is Apache"
Robotic Finger Sensor v2,US002373,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Robust Bi-Directional Pressure Probe with Arduino-based Measuring Unit,CZ000007,Other,GPL,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
RocketRelay,GT000022,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-4.0,compatible,Unusual combination: CERN-OHL-S-2.0 hardware with permissive CC-BY-4.0 documentation - may be intentional but worth reviewing
Rodeostat,US002129,CC-BY-4.0,MIT,CC-BY-4.0,compatible,"CC licenses (CC-BY-4.0) are designed for creative content, not hardware - consider CERN-OHL or similar"
Rosco_m68k,UK000006,CERN,MIT,CC BY,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
rosco_m68k Pro,UK000035,CERN-OHL-1.2,MIT,CC BY,compatible,Legacy hardware license (CERN-OHL-1.2) - consider updating to CERN-OHL-2.0 family
Rosmo,UK000062,CERN-OHL-S-2.0,Other,CC BY-SA,cannot_assess,Software license is 'Other' - cannot verify compatibility
Rota,US002139,CERN-OHL-P-2.0,MIT,CC-BY-4.0,compatible,No compatibility issues detected
ROTFPGA,HU000003,Other,MIT,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
RoverXR,EE000002,CERN-OHL-S-2.0,MIT,CC-BY-SA-4.0,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive MIT; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is MIT"
RP2350 based GPIO expansion card,IT000024,CC-BY-4.0,No software,CC-BY-4.0,compatible,"CC licenses (CC-BY-4.0) are designed for creative content, not hardware - consider CERN-OHL or similar"
RPI Fez DAC PCM5102A,BE000011,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
RPI ZERO LED RING,BE000013,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
RS-485 FeatherWing,US001031,Solderpad,No software,CC BY-SA,compatible,No compatibility issues detected
RS-485 Transceiver breakout,HR000051,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
RTE,PL000003,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
RTK Express,US002050,CERN-OHL-P-2.0,MIT,CC BY-SA,compatible,No compatibility issues detected
RTK Facet,US002064,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
RUDY,FI000002,CERN,MIT,CC BY,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
russian-woodpecker,PT000002,CERN,No software,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
S.A.F.E.,GT000020,CERN-OHL-P-2.0,GPL-3.0-or-later,CC-BY-4.0,compatible,No compatibility issues detected
SAMD21 NanoMod,IN000018,Other,No software,CC 0,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
sammy,PT000003,CERN,No software,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
Satellite Transceiver Function Board - Swarm M138,US002302,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SAV MAKER I,ES000002,CERN,GPL,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
SCD41 WiFi-Bluetooth Sensor,NL000007,CERN-OHL-P-2.0,GPL-3.0-or-later,CC-BY-4.0,compatible,No compatibility issues detected
Schedule Pass,IN000045,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,compatible,No compatibility issues detected
Schistoscope,NL000016,CERN-OHL-S-2.0,CERN-OHL-S-2.0,CERN-OHL-S-2.0,compatible,No compatibility issues detected
ScoutMakes DRV5032 Hall Sensor Breakout,US002671,Other,No software,CC BY,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ScoutMakes FM Kit,US000675,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ScoutMakes Robot Kit,US000676,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SD Sniffer,US001033,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SDEX2M2 MicroSD Express to NVMe Adapter,CN000019,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,compatible,No compatibility issues detected
Search Engine,US002176,Other,No software,CC 0,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Sediment Level Logger,US002132,CERN-OHL-S-2.0,MIT,CC BY-SA,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive MIT; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is MIT"
Seemore Mini,US002755,Other,Apache,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SenseTemp,US000151,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SenseTemp TEC,US000171,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Sensing improved cookstoves to estimate CO2 emission reduction,CH000024,CC-BY-4.0,CC-BY-4.0,CC-BY-4.0,compatible,"CC licenses (CC-BY-4.0) are designed for creative content, not hardware - consider CERN-OHL or similar"
Sensitive Quantum Efficiency Setup for Characterising Optoelectronic Devices,UK000046,CERN-OHL-P-2.0,MIT,CC-BY-4.0,compatible,No compatibility issues detected
Sensor board for 3D-printed anemometer,TH000015,CERN-OHL-S-2.0,Other,CC-BY-SA-4.0,cannot_assess,Software license is 'Other' - cannot verify compatibility
Sensr Air STCC4,US002781,CERN-OHL-S-2.0,MIT,CC-BY-SA-4.0,incompatible,"Incompatible: CERN-OHL-S-2.0 hardware requires derivative works to be under same license, but software is permissive MIT; Incompatible: CERN-OHL-S-2.0 hardware requires strongly reciprocal license, but software is MIT"
SENTSOR Core Board 328P,ID000002,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SENTSOR Core Board ESP-07S,ID000004,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SENTSOR CORE BOARD ESP32-DEV,ID000008,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SENTSOR CORE BOARD ESP32-EMBED,ID000007,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SENTSOR Core Board ESP32-MICRO,ID000009,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SENTSOR Core Board WROOM-32U,ID000005,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SENTSOR Name Card Information Injector,ID000003,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SENTSOR Uno Plus,ID000006,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Serial Wombat 8B PCB_0029,US002728,CERN-OHL-P-2.0,MIT,CERN-OHL-P-2.0,compatible,No compatibility issues detected
Serial Wombat SW8B BUZZ PCB0038,US002750,CERN-OHL-P-2.0,MIT,CERN-OHL-P-2.0,compatible,No compatibility issues detected
SerialBuddy-HT42B534,US002590,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Serqet FS,BE000016,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
ServSens,IN000058,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,compatible,No compatibility issues detected
sf2040,US002610,GPL-3.0-only,GPL,GPL-3.0-only,compatible,No compatibility issues detected
sf46,US002721,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,compatible,No compatibility issues detected
sfp-plus-mod,NO000009,TAPR,No software,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
Shard Edge,US002049,CERN-OHL-P-2.0,MIT,CC BY-SA,compatible,No compatibility issues detected
Shield FIT24 - IoT,GT000019,CERN-OHL-P-2.0,GPL-3.0-or-later,CC-BY-4.0,compatible,No compatibility issues detected
SHT20 breakout board,MU000003,Other,No software,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SIDfi,US002002,CERN,MIT,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
Sigfox TH sensor,CZ000003,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Simple fire sensor board,HR000041,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
Simple light sensor board,HR000040,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
Single Hammock,US000095,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Single+ Hammock,US000096,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
sino:bit,CN000001,Other,MIT,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
Sistema Monitoreo con LoRa,GT000024,CERN-OHL-P-2.0,MIT,CC-BY-4.0,compatible,No compatibility issues detected
SkinnerBox,MX000031,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SkinnerDuino,MX000026,CERN,No software,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
Slate,US002768,GPL-3.0-or-later,GPL-3.0-or-later,CC0-1.0,compatible,No compatibility issues detected
SlimeVR PCB,US002090,CERN-OHL-P-2.0,No software,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
Smart Badge,GT000001,CERN,GPL,CC BY,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Smart Home,GT000002,CERN,GPL,CC BY,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Smart LED WS2812B Pixel,HR000044,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
Smart LED WS2812B Ring7,HR000045,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
Smart LED WS2812B Stick10,HR000046,TAPR,No software,CC BY-SA,compatible,No compatibility issues detected
Smart Tennis Racket,IN000063,GPL-3.0-or-later,GPL-3.0-or-later,GPL-3.0-or-later,compatible,No compatibility issues detected
Smart Vent System Hardware,US000092,Other,MIT,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
smôl ARTIC R2,US002247,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl Dynamic NFC/RFID Tag,US002301,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl Environmental Peripheral Board,US002266,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl ESP32,US002248,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl Header,US002243,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl Power Board AAA,US002244,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl Power Board LiPo,US002245,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl RTC,US002263,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl Scale,US002267,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
smôl ZOE-M8Q,US002246,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Smoothieboard v2,FR000021,CERN-OHL-1.2,GPL-3.0-or-later,GPL-3.0-or-later,compatible,Legacy hardware license (CERN-OHL-1.2) - consider updating to CERN-OHL-2.0 family
Smoothieware,FR000001,CERN,GPL,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
SnapperGPS,UK000049,Solderpad,MIT,CC-BY-4.0,compatible,No compatibility issues detected
SnapperGPS,UK000044,Solderpad,MIT,CC-BY-4.0,compatible,No compatibility issues detected
SNAPZZ - mod001,CH000009,CERN,GPL,CC 0,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Sno Shoe - Arduino Compatible HDMI,US000692,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
Snowflake Pendant,US000055,Other,LGPL,Other,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SO-DIMM-ESP32-S2-CM,DE000133,CERN-OHL-P-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,compatible,No compatibility issues detected
Soft Power Switch,US002200,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SolarCharger,ES000039,CERN-OHL-S-2.0,GPL-3.0-or-later,CC-BY-SA-4.0,compatible,No compatibility issues detected
Soldered Inkplate 2,HR000102,TAPR,GPL,CC BY-SA,compatible,No compatibility issues detected
Soldered Inkplate 2 with enclosure,HR000103,TAPR,GPL,CC BY-SA,compatible,No compatibility issues detected
Soldered Inkplate 2 with enclosure and battery,HR000105,TAPR,GPL,CC BY-SA,compatible,No compatibility issues detected
Soldered Inkplate 2 without EPD,HR000104,TAPR,GPL,CC BY-SA,compatible,No compatibility issues detected
Soldering Tutorial Kits,BG000135,CC-BY-SA-4.0,No software,CC-BY-SA-4.0,compatible,"CC licenses (CC-BY-SA-4.0) are designed for creative content, not hardware - consider CERN-OHL or similar"
Space Shuttle Discovery solder kit,BE000007,CERN-OHL-S-2.0,No software,CERN-OHL-S-2.0,compatible,No compatibility issues detected
spark,NO000005,TAPR,No software,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
spark4pi-digital-io,NO000008,TAPR,No software,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
spark4pi-relay-actuator,NO000007,TAPR,No software,Other,cannot_assess,Documentation license is 'Other' - cannot verify compatibility
SparkFun 16 Output I/O Expander Breakout - SX1509,US000938,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun 6 Degrees of Freedom Breakout - LSM6DS3,US000939,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
